time,p
0.7299942,8.979888
0.7309942,8.980692
0.7319942,8.981497
0.7329941,8.982301
0.7339941,8.983106
0.7349941,8.983911
0.7359941,8.984716
0.7369941,8.985521
0.7379941,8.986327
0.7389941,8.987133
0.739994,8.987939
0.740994,8.988745
0.741994,8.989551
0.742994,8.990358
0.743994,8.991164
0.744994,8.99197
0.745994,8.992777
0.746994,8.993584
0.7479939,8.994391
0.7489939,8.995198
0.7499939,8.996005
0.7509939,8.996812
0.7519939,8.997619
0.7529939,8.998427
0.7539939,8.999235
0.7549939,9.000043
0.7559938,9.000851
0.7569938,9.001659
0.7579938,9.002468
0.7589938,9.003276
0.7599938,9.004085
0.7609938,9.004893
0.7619938,9.005702
0.7629938,9.006511
0.7639937,9.007321
0.7649937,9.00813
0.7659937,9.00894
0.7669937,9.00975
0.7679937,9.01056
0.7689937,9.01137
0.7699937,9.01218
0.7709936,9.01299
0.7719936,9.013801
0.7729936,9.014611
0.7739936,9.015422
0.7749936,9.016233
0.7759936,9.017044
0.7769936,9.017855
0.7779936,9.018666
0.7789935,9.019477
0.7799935,9.020288
0.7809935,9.021099
0.7819935,9.02191
0.7829935,9.022722
0.7839935,9.023534
0.7849935,9.024345
0.7859935,9.025157
0.7869934,9.025969
0.7879934,9.026781
0.7889934,9.027593
0.7899934,9.028406
0.7909934,9.029219
0.7919934,9.030032
0.7929934,9.030845
0.7939934,9.031659
0.7949933,9.032472
0.7959933,9.033285
0.7969933,9.034098
0.7979933,9.034912
0.7989933,9.035726
0.7999933,9.03654
0.8009933,9.037354
0.8019933,9.038168
0.8029932,9.038982
0.8039932,9.039796
0.8049932,9.04061
0.8059932,9.041425
0.8069932,9.04224
0.8079932,9.043055
0.8089932,9.04387
0.8099931,9.044685
0.8109931,9.0455
0.8119931,9.046315
0.8129931,9.047131
0.8139931,9.047947
0.8149931,9.048763
0.8159931,9.049579
0.8169931,9.050395
0.817993,9.051211
0.818993,9.052027
0.819993,9.052843
0.820993,9.05366
0.821993,9.054477
0.822993,9.055294
0.823993,9.056111
0.824993,9.056928
0.8259929,9.057746
0.8269929,9.058563
0.8279929,9.05938
0.8289929,9.060198
0.8299929,9.061016
0.8309929,9.061834
0.8319929,9.062652
0.8329929,9.06347
0.8339928,9.064289
0.8349928,9.065107
0.8359928,9.065925
0.8369928,9.066744
0.8379928,9.067563
0.8389928,9.068382
0.8399928,9.069201
0.8409927,9.07002
0.8419927,9.070839
0.8429927,9.071659
0.8439927,9.072478
0.8449927,9.073298
0.8459927,9.074118
0.8469927,9.074938
0.8479927,9.075758
0.8489926,9.076578
0.8499926,9.077398
0.8509926,9.078218
0.8519926,9.079039
0.8529926,9.07986
0.8539926,9.080681
0.8549926,9.081502
0.8559926,9.082323
0.8569925,9.083144
0.8579925,9.083965
0.8589925,9.084787
0.8599925,9.085609
0.8609925,9.08643
0.8619925,9.087252
0.8629925,9.088074
0.8639925,9.088896
0.8649924,9.089718
0.8659924,9.09054
0.8669924,9.091363
0.8679924,9.092185
0.8689924,9.093008
0.8699924,9.093831
0.8709924,9.094654
0.8719923,9.095477
0.8729923,9.0963
0.8739923,9.097123
0.8749923,9.097947
0.8759923,9.098771
0.8769923,9.099595
0.8779923,9.100419
0.8789923,9.101243
0.8799922,9.102067
0.8809922,9.102891
0.8819922,9.103715
0.8829922,9.104539
0.8839922,9.105364
0.8849922,9.106189
0.8859922,9.107014
0.8869922,9.107839
0.8879921,9.108664
0.8889921,9.109489
0.8899921,9.110314
0.8909921,9.111139
0.8919921,9.111964
0.8929921,9.11279
0.8939921,9.113616
0.8949921,9.114442
0.895992,9.115268
0.896992,9.116094
