time,p
0.3919985,8.857989
0.3929985,8.858764
0.3939985,8.85954
0.3949985,8.860316
0.3959984,8.861091
0.3969984,8.861867
0.3979984,8.862643
0.3989984,8.86342
0.3999984,8.864196
0.4009984,8.864973
0.4019984,8.86575
0.4029984,8.866527
0.4039983,8.867304
0.4049983,8.868082
0.4059983,8.86886
0.4069983,8.869638
0.4079983,8.870417
0.4089983,8.871196
0.4099983,8.871975
0.4109983,8.872753
0.4119982,8.873531
0.4129982,8.87431
0.4139982,8.875089
0.4149982,8.875868
0.4159982,8.876647
0.4169982,8.877427
0.4179982,8.878207
0.4189982,8.878987
0.4199981,8.879768
0.4209981,8.880549
0.4219981,8.88133
0.4229981,8.882111
0.4239981,8.882892
0.4249981,8.883673
0.4259981,8.884454
0.426998,8.885235
0.427998,8.886017
0.428998,8.886799
0.429998,8.887581
0.430998,8.888363
0.431998,8.889145
0.432998,8.889928
0.433998,8.890711
0.4349979,8.891494
0.4359979,8.892277
0.4369979,8.89306
0.4379979,8.893843
0.4389979,8.894626
0.4399979,8.89541
0.4409979,8.896194
0.4419979,8.896978
0.4429978,8.897763
0.4439978,8.898548
0.4449978,8.899333
0.4459978,8.900118
0.4469978,8.900903
0.4479978,8.901688
0.4489978,8.902474
0.4499978,8.903259
0.4509977,8.904045
0.4519977,8.904831
0.4529977,8.905617
0.4539977,8.906403
0.4549977,8.90719
0.4559977,8.907977
0.4569977,8.908764
0.4579976,8.909551
0.4589976,8.910339
0.4599976,8.911126
0.4609976,8.911914
0.4619976,8.912701
0.4629976,8.913489
0.4639976,8.914277
0.4649976,8.915065
0.4659975,8.915854
0.4669975,8.916643
0.4679975,8.917432
0.4689975,8.918221
0.4699975,8.91901
0.4709975,8.919799
0.4719975,8.920589
0.4729975,8.921379
0.4739974,8.922169
0.4749974,8.922959
0.4759974,8.923749
0.4769974,8.924539
0.4779974,8.92533
0.4789974,8.926121
0.4799974,8.926911
0.4809974,8.927702
0.4819973,8.928493
0.4829973,8.929284
0.4839973,8.930075
0.4849973,8.930866
0.4859973,8.931658
0.4869973,8.93245
0.4879973,8.933242
0.4889973,8.934034
0.4899972,8.934827
0.4909972,8.93562
0.4919972,8.936413
0.4929972,8.937206
0.4939972,8.937999
0.4949972,8.938793
0.4959972,8.939586
0.4969971,8.94038
0.4979971,8.941174
0.4989971,8.941968
0.4999971,8.942762
0.5009971,8.943557
0.5019971,8.944351
0.5029971,8.945146
0.5039971,8.945941
0.5049971,8.946736
0.5059971,8.947531
0.506997,8.948327
0.507997,8.949122
0.508997,8.949918
0.509997,8.950713
0.510997,8.951509
0.511997,8.952305
0.512997,8.953101
0.513997,8.953898
0.5149969,8.954695
0.5159969,8.955492
0.5169969,8.956289
0.5179969,8.957086
0.5189969,8.957884
0.5199969,8.958681
0.5209969,8.959479
0.5219969,8.960276
0.5229968,8.961074
0.5239968,8.961872
0.5249968,8.96267
0.5259968,8.963469
0.5269968,8.964267
0.5279968,8.965066
0.5289968,8.965865
0.5299968,8.966664
0.5309967,8.967463
0.5319967,8.968263
0.5329967,8.969062
0.5339967,8.969862
0.5349967,8.970662
0.5359967,8.971462
0.5369967,8.972262
0.5379966,8.973062
0.5389966,8.973862
0.5399966,8.974663
0.5409966,8.975464
0.5419966,8.976265
0.5429966,8.977066
0.5439966,8.977867
0.5449966,8.978669
0.5459965,8.97947
0.5469965,8.980272
0.5479965,8.981074
0.5489965,8.981877
0.5499965,8.982679
0.5509965,8.983481
0.5519965,8.984284
0.5529965,8.985087
0.5539964,8.98589
0.5549964,8.986693
0.5559964,8.987496
0.5569964,8.988299
0.5579964,8.989103
0.5589964,8.989906
0.5599964,8.99071
0.5609964,8.991514
0.5619963,8.992318
0.5629963,8.993123
0.5639963,8.993928
0.5649963,8.994732
0.5659963,8.995537
0.5669963,8.996342
0.5679963,8.997147
0.5689963,8.997952
0.5699962,8.998758
0.5709962,8.999563
0.5719962,9.000368
0.5729962,9.001174
0.5739962,9.00198
0.5749962,9.002786
0.5759962,9.003592
0.5769961,9.004399
0.5779961,9.005206
0.5789961,9.006012
0.5799961,9.006819
0.5809961,9.007626
0.5819961,9.008433
0.5829961,9.00924
0.5839961,9.010048
0.584996,9.010856
0.585996,9.011664
0.586996,9.012472
0.587996,9.01328
0.588996,9.014088
0.589996,9.014897
0.590996,9.015706
0.591996,9.016515
0.5929959,9.017324
0.5939959,9.018133
0.5949959,9.018942
0.5959959,9.019752
0.5969959,9.020561
0.5979959,9.02137
0.5989959,9.022179
0.5999959,9.022988
0.6009958,9.023798
0.6019958,9.024608
0.6029958,9.025418
0.6039958,9.026229
0.6049958,9.02704
0.6059958,9.027851
0.6069958,9.028663
0.6079957,9.029475
0.6089957,9.030287
0.6099957,9.031098
0.6109957,9.03191
0.6119957,9.032722
0.6129957,9.033534
0.6139957,9.034346
0.6149957,9.035158
0.6159956,9.03597
0.6169956,9.036782
0.6179956,9.037594
0.6189956,9.038406
0.6199956,9.039219
0.6209956,9.040033
0.6219956,9.040847
0.6229956,9.041661
0.6239955,9.042474
0.6249955,9.043287
0.6259955,9.044101
0.6269955,9.044915
0.6279955,9.045729
0.6289955,9.046544
0.6299955,9.047359
0.6309955,9.048174
0.6319954,9.048988
0.6329954,9.049803
0.6339954,9.050617
0.6349954,9.051432
0.6359954,9.052247
0.6369954,9.053063
0.6379954,9.053879
0.6389953,9.054694
0.6399953,9.055509
0.6409953,9.056325
0.6419953,9.057142
0.6429953,9.057958
0.6439953,9.058774
0.6449953,9.05959
0.6459953,9.060407
0.6469952,9.061224
0.6479952,9.062041
0.6489952,9.062858
0.6499952,9.063675
0.6509952,9.064493
0.6519952,9.065311
0.6529952,9.066129
0.6539952,9.066947
0.6549951,9.067765
0.6559951,9.068583
0.6569951,9.069401
0.6579951,9.070219
0.6589951,9.071038
0.6599951,9.071857
0.6609951,9.072676
0.6619951,9.073495
0.662995,9.074314
0.663995,9.075133
0.664995,9.075952
0.665995,9.076772
0.666995,9.077592
0.667995,9.078412
0.668995,9.079232
0.669995,9.080052
0.6709949,9.080872
0.6719949,9.081693
0.6729949,9.082513
0.6739949,9.083333
0.6749949,9.084154
0.6759949,9.084975
0.6769949,9.085796
0.6779948,9.086617
0.6789948,9.087438
0.6799948,9.088259
0.6809948,9.089081
0.6819948,9.089903
0.6829948,9.090725
0.6839948,9.091547
0.6849948,9.092369
0.6859947,9.093192
0.6869947,9.094014
0.6879947,9.094837
0.6889947,9.09566
0.6899947,9.096483
0.6909947,9.097306
0.6919947,9.098129
0.6929947,9.098953
0.6939946,9.099776
0.6949946,9.100599
0.6959946,9.101423
0.6969946,9.102247
0.6979946,9.103071
0.6989946,9.103895
0.6999946,9.10472
0.7009946,9.105545
0.7019945,9.10637
0.7029945,9.107195
0.7039945,9.10802
0.7049945,9.108845
0.7059945,9.10967
0.7069945,9.110495
0.7079945,9.11132
0.7089944,9.112146
0.7099944,9.112971
0.7109944,9.113797
0.7119944,9.114623
0.7129944,9.115449
0.7139944,9.116275
0.7149944,9.117102
0.7159944,9.117928
0.7169943,9.118755
0.7179943,9.119582
0.7189943,9.120409
0.7199943,9.121236
0.7209943,9.122063
0.7219943,9.12289
0.7229943,9.123717
0.7239943,9.124545
0.7249942,9.125373
0.7259942,9.126201
0.7269942,9.127029
0.7279942,9.127857
0.7289942,9.128686
0.7299942,9.129514
0.7309942,9.130343
0.7319942,9.131171
0.7329941,9.132
0.7339941,9.132829
0.7349941,9.133658
0.7359941,9.134487
0.7369941,9.135316
0.7379941,9.136146
0.7389941,9.136975
0.739994,9.137805
0.740994,9.138635
0.741994,9.139465
0.742994,9.140295
0.743994,9.141125
0.744994,9.141955
0.745994,9.142786
0.746994,9.143617
0.7479939,9.144448
0.7489939,9.145279
0.7499939,9.14611
0.7509939,9.146941
0.7519939,9.147772
0.7529939,9.148603
0.7539939,9.149434
0.7549939,9.150266
0.7559938,9.151098
0.7569938,9.15193
0.7579938,9.152762
0.7589938,9.153595
0.7599938,9.154427
0.7609938,9.155259
0.7619938,9.156092
0.7629938,9.156925
0.7639937,9.157758
0.7649937,9.158591
0.7659937,9.159424
0.7669937,9.160257
0.7679937,9.161091
0.7689937,9.161925
0.7699937,9.162758
0.7709936,9.163592
0.7719936,9.164426
0.7729936,9.16526
0.7739936,9.166094
0.7749936,9.166928
0.7759936,9.167763
0.7769936,9.168598
0.7779936,9.169433
0.7789935,9.170268
0.7799935,9.171103
0.7809935,9.171938
0.7819935,9.172773
0.7829935,9.173608
0.7839935,9.174443
0.7849935,9.175279
0.7859935,9.176115
0.7869934,9.176951
0.7879934,9.177787
0.7889934,9.178623
0.7899934,9.179459
0.7909934,9.180295
0.7919934,9.181132
0.7929934,9.181968
0.7939934,9.182805
0.7949933,9.183642
0.7959933,9.184479
0.7969933,9.185316
0.7979933,9.186153
0.7989933,9.186991
0.7999933,9.187828
0.8009933,9.188666
0.8019933,9.189504
0.8029932,9.190342
0.8039932,9.19118
0.8049932,9.192018
0.8059932,9.192856
0.8069932,9.193694
0.8079932,9.194532
0.8089932,9.195371
0.8099931,9.19621
0.8109931,9.197049
0.8119931,9.197888
0.8129931,9.198727
0.8139931,9.199566
0.8149931,9.200406
0.8159931,9.201246
0.8169931,9.202085
0.817993,9.202924
0.818993,9.203764
0.819993,9.204604
0.820993,9.205444
0.821993,9.206285
0.822993,9.207126
0.823993,9.207966
0.824993,9.208807
0.8259929,9.209648
0.8269929,9.210489
0.8279929,9.21133
0.8289929,9.212171
0.8299929,9.213012
0.8309929,9.213853
0.8319929,9.214695
0.8329929,9.215537
0.8339928,9.216379
0.8349928,9.217221
0.8359928,9.218063
0.8369928,9.218905
0.8379928,9.219747
0.8389928,9.22059
0.8399928,9.221433
0.8409927,9.222276
0.8419927,9.223119
0.8429927,9.223962
0.8439927,9.224805
0.8449927,9.225648
0.8459927,9.226491
0.8469927,9.227334
0.8479927,9.228177
0.8489926,9.229021
0.8499926,9.229865
0.8509926,9.230709
0.8519926,9.231553
0.8529926,9.232397
0.8539926,9.233241
0.8549926,9.234085
0.8559926,9.23493
0.8569925,9.235774
0.8579925,9.236619
0.8589925,9.237464
0.8599925,9.238309
0.8609925,9.239154
0.8619925,9.239999
0.8629925,9.240844
0.8639925,9.241689
0.8649924,9.242534
0.8659924,9.24338
0.8669924,9.244225
0.8679924,9.245071
0.8689924,9.245917
0.8699924,9.246763
0.8709924,9.247609
0.8719923,9.248455
0.8729923,9.249302
0.8739923,9.250149
0.8749923,9.250996
0.8759923,9.251843
0.8769923,9.25269
0.8779923,9.253537
0.8789923,9.254384
0.8799922,9.255232
0.8809922,9.25608
0.8819922,9.256928
0.8829922,9.257776
0.8839922,9.258624
0.8849922,9.259472
0.8859922,9.260319
0.8869922,9.261167
0.8879921,9.262015
0.8889921,9.262863
0.8899921,9.263711
0.8909921,9.26456
0.8919921,9.265409
0.8929921,9.266258
0.8939921,9.267107
0.8949921,9.267956
0.895992,9.268805
0.896992,9.269655
0.897992,9.270505
0.898992,9.271355
0.899992,9.272205
0.900992,9.273054
0.901992,9.273904
0.902992,9.274754
0.9039919,9.275604
0.9049919,9.276454
0.9059919,9.277304
0.9069919,9.278155
0.9079919,9.279006
0.9089919,9.279857
0.9099919,9.280708
0.9109918,9.281559
0.9119918,9.28241
0.9129918,9.283261
0.9139918,9.284112
0.9149918,9.284963
0.9159918,9.285814
0.9169918,9.286666
0.9179918,9.287518
0.9189917,9.28837
0.9199917,9.289222
0.9209917,9.290074
0.9219917,9.290926
0.9229917,9.291778
0.9239917,9.29263
0.9249917,9.293483
0.9259917,9.294336
0.9269916,9.295189
0.9279916,9.296008
0.9289916,9.296702
0.9299916,9.297271
0.9309916,9.297723
0.9319916,9.298066
0.9329916,9.298307
0.9339916,9.298451
0.9349915,9.298506
0.9359915,9.298476
0.9369915,9.298367
0.9379915,9.298185
0.9389915,9.297933
0.9399915,9.297616
0.9409915,9.297239
0.9419914,9.296805
0.9429914,9.296318
0.9439914,9.29578
0.9449914,9.295196
0.9459914,9.294568
0.9469914,9.293899
0.9479914,9.293191
0.9489914,9.292447
0.9499913,9.291669
0.9509913,9.29086
0.9519913,9.290021
0.9529913,9.289154
